gene_id,1BS,1DS,2BS,2DS,3BS,3DS
g66390,4,2,1,0,0,0
g66392,382,163,296,37,103,41
g66403,2,1,0,1,1,0
g66405,1665,3069,1663,712,556,93
g66406,65,91,532,931,238,96
g66414,24,0,6,8,0,5
g66419,8,0,0,4,1,4
g66420,1,0,1,1,6,0
g66421,2,2,2,4,2,0
g66423,7,3,3,5,0,5
g66424,8,8,11,20,11,29
g66425,0,0,0,0,0,0
g66428,1,0,2,1,1,1
g66429,2,4,2,2,5,0
g66438,0,0,0,0,0,2
g66437,1076,861,1091,989,846,1404
g66445,190,135,378,223,248,400
g66446,5,2,7,5,2,11
g66447,32,45,74,58,35,115
g66448,2439,2582,4316,5427,3175,4368
g66449,56,0,29,30,13,89
g66450,804,30,171,225,89,666
g66451,596,655,763,1029,671,834
g66452,1255,1714,2826,2308,2179,3467
g66453,179,191,441,576,286,457
g66454,33,40,54,38,35,48
g66455,157,70,393,136,203,269
g66456,0,0,0,0,4,0
g66460,140,53,206,126,134,154
g66461,4,0,2,2,0,1
g66462,33,4,0,5,4,8
g66464,292,92,119,73,52,258
g66469,0,14,66,11,44,13
g66471,2606,2928,4053,6856,2915,2786
g66477,0,0,0,0,0,0
g66478,0,0,0,0,0,0
g66479,0,0,0,0,0,0
g66480,0,0,4,0,0,0
g66476,193,125,175,131,74,296
g66487,76,17,82,36,46,51
g66491,2,0,2,0,1,2
g66492,9,7,5,6,4,13
g66493,91,27,46,25,34,88
g66495,224,69,163,63,179,313
g66503,0,0,0,0,0,0
g66505,0,0,0,0,0,11
g66498,1318,1465,1492,1077,1271,1298
g66500,1370,1380,1335,1064,1498,1404
g66501,694,723,699,561,753,634
g66507,205,8,217,45,158,348
g66511,5,0,0,4,0,0
g66512,1,1,3,3,2,0
g66523,0,1,0,0,0,0
g66525,0,2,1,2,0,9
g66527,0,0,0,0,0,2
g66528,0,341,3,512,0,417
g66522,19,0,0,0,0,0
g66524,92,192,137,437,102,423
g66526,1559,350,1920,2180,1546,1219
g66530,916,539,1247,2399,1007,1606
g66531,732,501,646,832,559,700
g66532,701,228,667,278,498,313
g66533,188,74,102,72,93,88
g66534,793,311,784,800,433,425
g66537,259,31,199,40,183,86
g66544,6,4,1,1,0,0
g66539,965,500,1288,664,813,1011
g66547,0,0,0,0,0,0
g66548,0,0,0,0,0,0
g66545,1368,977,999,412,885,513
g66546,21,26,83,283,81,412
g66551,40,37,60,476,84,472
g66554,137,168,46,200,112,96
g66555,19,0,0,4,0,4
g66553,6861,3804,8339,7660,6360,9936
g66556,192,95,105,112,94,184
g66557,173,56,156,211,111,242
g66558,11,0,0,19,22,19
g66559,94,35,126,87,71,119
g66560,178,30,102,78,91,109
g66562,37,7,64,0,52,59
g66563,576,422,457,425,276,473
g66564,142,93,56,172,40,16
g66565,931,762,1171,1385,837,1073
g66566,2564,1641,2704,2642,1909,2809
g66567,2743,1616,2325,3040,1690,2946
g66568,14427,9409,11817,13701,9281,13292
g66569,564,449,688,914,551,1192
g66570,3295,2707,4884,4675,3469,4253
g66571,59,22,23,19,38,94
g66573,565,134,290,759,179,356
g66585,0,0,4,3,3,0
g66584,13,3,18,22,11,9
g66586,33,32,36,111,16,168
g66587,3,2,3,5,3,5
g66591,7068,4551,4703,12417,6495,6704
g66592,19,12,3,10,12,17
g66593,1296,1074,1168,1328,1226,1389
g66594,174,154,223,289,119,204
g66595,2725,1936,2721,2894,2138,2248
g66597,39,58,62,60,48,51
g66602,2,0,0,0,5,0
g66608,366,88,8,165,0,2
g66611,696,697,698,809,553,829
g66612,223,145,248,198,188,267
g66616,31,26,19,13,14,7
g66613,456,440,496,309,341,347
g66614,74,68,81,71,66,117
g66615,807,1628,1641,415,1187,784
g66617,1304,1043,1438,212,936,231
g66618,714,430,539,434,442,502
g66619,372,394,427,229,339,210
g66620,7,24,27,4,22,1
g66621,382,305,510,291,400,401
g66622,247,204,233,174,174,197
g66623,367,525,416,247,302,287
g66626,1098,748,992,1894,692,766
g66627,198,132,172,237,140,312
g66628,2189,441,3394,5268,2502,4814
g66642,9,5,0,0,5,0
g66644,25,0,44,0,28,0
g66645,303,206,415,591,231,352
g66634,1775,920,1602,1072,1054,1343
